GeneID	Base mean	Log2(FC)	StdErr	Wald-Stats	P-value	P-Adj
gene-J2S48_RS21855	406.706941666401	-2.62338956725589	0.364297064369967	-7.20123718754888	5.96686463417142e-13	1.16823164326334e-11
gene-J2S48_RS13370	597.202373275204	2.44464663442161	0.339545731288979	7.19975664291603	6.03201198254783e-13	1.17438892509381e-11
MSTRG.3442.1	1194.29137509365	2.4477224556985	0.340055220340818	7.19801464375487	6.10955845695749e-13	1.18287840124983e-11
gene-J2S48_RS02560	197.077427245061	-3.00337615358599	0.417340140229853	-7.19647084972909	6.17909909925416e-13	1.18973261662435e-11
gene-J2S48_RS00595	349.787986575186	2.89560784585015	0.403418330330437	7.17768040802304	7.09040644489858e-13	1.35769595936657e-11
gene-J2S48_RS06930	5377.77511253678	2.70262609139188	0.376732503166124	7.1738596183726	7.29123770297582e-13	1.37351153485788e-11
rna-J2S48_RS20040	599.162510671667	4.44165941510102	0.619087052224364	7.1745312701053	7.25553378817173e-13	1.37351153485788e-11
gene-J2S48_RS21255	688.10693615811	-2.30900680872184	0.321840205127699	-7.17438894188397	7.26308536597395e-13	1.37351153485788e-11
MSTRG.864.1	7996.45331302746	2.31585877065614	0.324254934653558	7.14209260417413	9.19206339486626e-13	1.72227639414564e-11
gene-J2S48_RS00950	1407.46801777917	-2.51342676703737	0.352188209309442	-7.13660111440303	9.56669398030939e-13	1.78288387814857e-11
gene-J2S48_RS16650	4950.25728074824	-2.53362883774778	0.356141545625163	-7.11410636829889	1.12640257925662e-12	2.08610867617831e-11
gene-J2S48_RS19345	399.829956388884	2.54738836111497	0.358106079312913	7.11350213881475	1.13134731649268e-12	2.08610867617831e-11
gene-J2S48_RS00955	590.233223595383	-2.69231127113587	0.378557859528405	-7.11202053627907	1.14356240161101e-12	2.09753419453388e-11
gene-J2S48_RS25085	2628.06209439578	2.44024397052229	0.343576618650496	7.10247391137124	1.22543168790075e-12	2.23593163996551e-11
MSTRG.58.1	1814.35861508529	2.32948324301812	0.328570274737248	7.08975650606547	1.34348169898041e-12	2.43855922965976e-11
gene-J2S48_RS26350	359.813798940945	2.92791003540878	0.413785753877724	7.07590826404815	1.4847306006726e-12	2.68097727634404e-11
gene-J2S48_RS17415	926.006231521974	2.24002288909079	0.316629799239961	7.07458013891222	1.49901919170811e-12	2.69282571293957e-11
MSTRG.2430.1	209.852656311983	2.49312017129647	0.353803122503885	7.04663134019993	1.83301108308069e-12	3.27010131032857e-11
gene-J2S48_RS18855	3645.25778307701	1.8719263491729	0.265665917694536	7.04616672480077	1.83913875702841e-12	3.27010131032857e-11
gene-J2S48_RS12910	319.207990278972	3.93695078926977	0.561706770328697	7.00890748916193	2.4018619275791e-12	4.24897909523511e-11
gene-J2S48_RS24750	832.457386669297	-1.98984805076877	0.284324353798049	-6.99851428197433	2.58690995101789e-12	4.55322281782694e-11
gene-J2S48_RS03950	3662.14095775407	2.63935910712696	0.378374896376219	6.97551326053786	3.04756132044258e-12	5.33706090539818e-11
gene-J2S48_RS21850	739.186295912748	3.02627885742866	0.434743615747035	6.9610656667804	3.3770830149058e-12	5.88456715347336e-11
gene-J2S48_RS22370	189.047678029537	-2.81250853985771	0.404102150222104	-6.95989501246626	3.40526412866847e-12	5.90415198428339e-11
gene-J2S48_RS04565	832.675363366818	2.80889022021651	0.404697719583993	6.94071175667582	3.90129305510207e-12	6.73069618664886e-11
MSTRG.345.1	978.519560684723	-2.18478545110769	0.315050551622625	-6.93471393671665	4.07043980826733e-12	6.98792252798602e-11
MSTRG.1829.1	336.221424479396	3.80110564242384	0.5492161163705	6.9209652250256	4.4857660624664e-12	7.66318369004677e-11
gene-J2S48_RS21150	756.048195414274	-3.15373885665196	0.456125859589554	-6.91418561422906	4.70558723052162e-12	7.99949829188676e-11
